channel_id,call_sign,clean_name,original_name,city_state,city,state,station_num,unique_station_num,gracenote_id,station_id,logo_color,logo_white,Status
PBS_WCBB,WCBB,PBS ME Lewiston (WCBB) [10.1],Maine Public,"Lewiston, ME",Lewiston,ME,10.1,330101,21725,48bc2487-14e0-4875-a893-58a0b06ec29e,https://image.pbs.org/stations/wcbb-color-single-brand-logo-Bvv2GbM.png,https://image.pbs.org/stations/wcbb-white-single-brand-logo-C8UyX8p.png,Good
PBS_WKAR,WKAR,PBS MI East Lansing (WKAR) [23.1],WKAR-TV,"East Lansing, MI",East Lansing,MI,23.1,340231,42529,357a5517-94ea-409b-8985-f9dc57c82b5f,https://image.pbs.org/stations/wkar-color-cobranded-logo-VMMyDkc.png,https://image.pbs.org/stations/wkar-white-cobranded-logo-SUKSuWo.png,Good
PBS_WGVU,WGVU,PBS MI Grand Rapids (WGVU) [35.1],WGVU TV,"Grand Rapids, MI",Grand Rapids,MI,35.1,340351,43708,2a6939f7-894c-456c-9c1c-56185bd0a3c4,https://image.pbs.org/stations/wgvu-color-cobranded-logo-mbLXXeg.png,https://image.pbs.org/stations/wgvu-white-cobranded-logo-Srf2iav.png,Good
PBS_WNMU,WNMU,PBS MI Marquette (WNMU) [13.1],WNMU-TV PBS,"Marquette, MI",Marquette,MI,13.1,340131,44220,a3abb950-c4d6-43b8-9299-94556c0ad751,https://image.pbs.org/stations/wnmu-color-cobranded-logo-7MChUjy.png,https://image.pbs.org/stations/wnmu-white-cobranded-logo-dVkUZSD.png,Good
PBS_WCMU,WCMU,PBS MI Mt Pleasant (WCMU) [14.1],WCMU Public Television,"Mt Pleasant, MI",Mt Pleasant,MI,14.1,340141,66291,e435c068-30ee-4296-a9f0-58a561ea9487,https://image.pbs.org/stations/wcmu-color-cobranded-logo-0YMvnSJ.png,https://image.pbs.org/stations/wcmu-white-cobranded-logo-LepgnY1.png,Good
PBS_WDCQ,WDCQ,PBS MI University Center (WDCQ) [19.1],Delta College Public Media,"University Center, MI",University Center,MI,19.1,340191,35728,d94cacc2-0123-4850-a15c-d5c4e78310f0,https://image.pbs.org/stations/wdcq-color-cobranded-logo-NzJPicn.png,https://image.pbs.org/stations/wdcq-white-cobranded-logo-hmiUoZY.png,Good
PBS_WTVS,WTVS,PBS MI Wixom (WTVS) [56.1],Detroit PBS,"Wixom, MI",Wixom,MI,56.1,340561,25512,7f382f2c-72eb-4e19-ba1b-1d6d143ae841,https://image.pbs.org/stations/wtvs-color-cobranded-logo-qPfWWgg.png,https://image.pbs.org/stations/wtvs-white-cobranded-logo-GBBu9aR.png,Good
PBS_KSMQ,KSMQ,PBS MN Austin (KSMQ) [15.1],KSMQ Public Television,"Austin, MN",Austin,MN,15.1,350151,35081,a8919c6f-2476-4e73-9f94-c3f1266e85b3,https://image.pbs.org/stations/ksmq-color-cobranded-logo-X2uit9w.png,https://image.pbs.org/stations/ksmq-white-cobranded-logo-as1uuMW.png,Good
PBS_KAWE,KAWE,PBS MN Bemidji (KAWE) [9.1],Lakeland PBS,"Bemidji, MN",Bemidji,MN,9.1,350091,35622,bb77b7f7-78ec-4134-aa62-3902aeca6169,https://image.pbs.org/stations/kawe-color-cobranded-logo-iE3QsVT.png,https://image.pbs.org/stations/kawe-white-cobranded-logo-OPfiF9g.png,Good
PBS_WDSE,WDSE,PBS MN Duluth (WDSE) [8.1],WDSE - WRPT,"Duluth, MN",Duluth,MN,8.1,350081,43683,38c2df8a-4e7e-4193-8cc6-8704059cbb1a,https://image.pbs.org/stations/wdse-color-cobranded-logo-P2nzl7Z.png,https://image.pbs.org/stations/wdse-white-cobranded-logo-70rcWLN.png,Good
PBS_KWCM,KWCM,PBS MN Granite Falls (KWCM) [10.1],Pioneer PBS,"Granite Falls, MN",Granite Falls,MN,10.1,350101,54479,3c88d7e0-5940-41e0-b7b7-30f728b3ea46,https://image.pbs.org/stations/kwcm-color-single-brand-logo-l7H8gRR.png,https://image.pbs.org/stations/kwcm-white-cobranded-logo-rbnw2gs.png,Good
PBS_KTCA,KTCA,PBS MN St Paul (KTCA) [2.1],Twin Cities PBS,"St Paul, MN",St Paul,MN,2.1,350021,21634,3742dff1-85cd-42d1-ab39-7ffa8ef10211,https://image.pbs.org/stations/ktca-color-single-brand-logo-NK3MAIo.png,https://image.pbs.org/stations/ktca-white-single-brand-logo-h6zToTp.png,Good
PBS_KCPT,KCPT,PBS MO Kansas City (KCPT) [19.1],Kansas City PBS,"Kansas City, MO",Kansas City,MO,19.1,360191,19654,b053c129-9506-40e4-810a-7b610b62e58d,https://image.pbs.org/stations/kcpt-color-cobranded-logo-gWmfwnu.png,https://image.pbs.org/stations/kcpt-white-cobranded-logo-EbzOCA3.png,Good
PBS_KOZK,KOZK,PBS MO Springfield (KOZK) [21.1],Ozarks Public Television,"Springfield, MO",Springfield,MO,21.1,360211,47825,04b9a7e1-c148-41d7-80fc-8304588f5426,https://image.pbs.org/stations/kozk-color-single-brand-logo-4J6w0Sm.png,https://image.pbs.org/stations/kozk-white-single-brand-logo-9T3GU4H.png,Good
PBS_KETC,KETC,PBS MO St Louis (KETC) [9.1],Nine PBS,"St Louis, MO",St Louis,MO,9.1,360091,32057,0436e066-85c7-408b-a4fd-5b492ccb5fd8,https://image.pbs.org/stations/ketc-color-cobranded-logo-mDXc46t.png,https://image.pbs.org/stations/ketc-white-cobranded-logo-9bNyIya.png,Good
PBS_KMOS,KMOS,PBS MO Warrensburg (KMOS) [6.1],KMOS-TV,"Warrensburg, MO",Warrensburg,MO,6.1,360061,34696,7dd0e811-0ad6-4a39-a579-f2cbb20d9800,https://image.pbs.org/stations/kmos-color-cobranded-logo-D8VJeg5.png,https://image.pbs.org/stations/kmos-white-cobranded-logo-8fbvfCZ.png,Good
